# data from http://www.itl.nist.gov/div898/handbook/pmc/section4/pmc4411.htm
# date [co2] year month
0.38 333.13 1974 5
0.46 332.09 1974 6
0.54 331.10 1974 7
0.63 329.14 1974 8
0.71 327.36 1974 9
0.79 327.29 1974 10
0.88 328.23 1974 11
0.96 329.55 1974 12

1.04 330.62 1975 1
1.13 331.40 1975 2
1.21 331.87 1975 3
1.29 333.18 1975 4
1.38 333.92 1975 5
1.46 333.43 1975 6
1.54 331.85 1975 7
1.63 330.01 1975 8
1.71 328.51 1975 9
1.79 328.41 1975 10
1.88 329.25 1975 11
1.96 330.97 1975 12

2.04 331.60 1976 1
2.13 332.60 1976 2
2.21 333.57 1976 3
2.29 334.72 1976 4
2.38 334.68 1976 5
2.46 334.17 1976 6
2.54 332.96 1976 7
2.63 330.80 1976 8
2.71 328.98 1976 9
2.79 328.57 1976 10
2.88 330.20 1976 11
2.96 331.58 1976 12

3.04 332.67 1977 1
3.13 333.17 1977 2
3.21 334.86 1977 3
3.29 336.07 1977 4
3.38 336.82 1977 5
3.46 336.12 1977 6
3.54 334.81 1977 7
3.63 332.56 1977 8
3.71 331.30 1977 9
3.79 331.22 1977 10
3.88 332.37 1977 11
3.96 333.49 1977 12

4.04 334.71 1978 1
4.13 335.23 1978 2
4.21 336.54 1978 3
4.29 337.79 1978 4
4.38 337.95 1978 5
4.46 338.00 1978 6
4.54 336.37 1978 7
4.63 334.47 1978 8
4.71 332.46 1978 9
4.79 332.29 1978 10
4.88 333.76 1978 11
4.96 334.80 1978 12

5.04 336.00 1979 1
5.13 336.63 1979 2
5.21 337.93 1979 3
5.29 338.95 1979 4
5.38 339.05 1979 5
5.46 339.27 1979 6
5.54 337.64 1979 7
5.63 335.68 1979 8
5.71 333.77 1979 9
5.79 334.09 1979 10
5.88 335.29 1979 11
5.96 336.76 1979 12

6.04 337.77 1980 1
6.13 338.26 1980 2
6.21 340.10 1980 3
6.29 340.88 1980 4
6.38 341.47 1980 5
6.46 341.31 1980 6
6.54 339.41 1980 7
6.63 337.74 1980 8
6.71 336.07 1980 9
6.79 336.07 1980 10
6.88 337.22 1980 11
6.96 338.38 1980 12

7.04 339.32 1981 1
7.13 340.41 1981 2
7.21 341.69 1981 3
7.29 342.51 1981 4
7.38 343.02 1981 5
7.46 342.54 1981 6
7.54 340.88 1981 7
7.63 338.75 1981 8
7.71 337.05 1981 9
7.79 337.13 1981 10
7.88 338.45 1981 11
7.96 339.85 1981 12

8.04 340.90 1982 1
8.13 341.70 1982 2
8.21 342.70 1982 3
8.29 343.65 1982 4
8.38 344.28 1982 5
8.46 343.42 1982 6
8.54 342.02 1982 7
8.63 339.97 1982 8
8.71 337.84 1982 9
8.79 338.00 1982 10
8.88 339.20 1982 11
8.96 340.63 1982 12

9.04 341.41 1983 1
9.13 342.68 1983 2
9.21 343.04 1983 3
9.29 345.27 1983 4
9.38 345.92 1983 5
9.46 345.40 1983 6
9.54 344.16 1983 7
9.63 342.11 1983 8
9.71 340.11 1983 9
9.79 340.15 1983 10
9.88 341.38 1983 11
9.96 343.02 1983 12

10.04 343.87 1984 1
10.13 344.59 1984 2
10.21 345.11 1984 3
10.29 347.07 1984 4
10.38 347.38 1984 5
10.46 346.78 1984 6
10.54 344.96 1984 7
10.63 342.71 1984 8
10.71 340.86 1984 9
10.79 341.13 1984 10
10.88 342.84 1984 11
10.96 344.32 1984 12

11.04 344.88 1985 1
11.13 345.62 1985 2
11.21 347.23 1985 3
11.29 347.62 1985 4
11.38 348.53 1985 5
11.46 347.87 1985 6
11.54 346.00 1985 7
11.63 343.86 1985 8
11.71 342.55 1985 9
11.79 342.57 1985 10
11.88 344.11 1985 11
11.96 345.49 1985 12

12.04 346.04 1986 1
12.13 346.70 1986 2
12.21 347.38 1986 3
12.29 349.38 1986 4
12.38 349.93 1986 5
12.46 349.26 1986 6
12.54 347.44 1986 7
12.63 345.55 1986 8
12.71 344.21 1986 9
12.79 343.67 1986 10
12.88 345.09 1986 11
12.96 346.27 1986 12

13.04 347.33 1987 1
13.13 347.82 1987 2
13.21 349.29 1987 3
13.29 350.91 1987 4
13.38 351.71 1987 5
13.46 350.94 1987 6
13.54 349.10 1987 7
13.63 346.77 1987 8
13.71 345.73 1987 9
