# Apple Computer stock data, NASDAQ:AAPL
# From 14 Feb 2011, 10 Feb 2012, daily
# Date Open High Low Close Volume
1 356.79 359.48 356.71 359.18 11086213
2 359.19 359.97 357.55 359.90 10149063
3 360.80 364.90 360.50 363.13 17184119
4 357.25 360.27 356.52 358.30 18949072
5 350.56 350.56 350.56 350.56 0
6 342.15 345.40 337.72 338.61 31162223
7 338.77 344.64 338.61 342.62 23994706
8 344.02 345.15 338.37 342.88 17853502
9 345.26 348.43 344.80 348.16 13572069
10 351.24 355.05 351.12 353.21 14395497
11 355.47 355.72 347.68 349.31 16290309
12 349.96 354.35 348.40 352.12 21521027
13 357.19 359.79 355.92 359.56 17885252
14 360.07 360.29 357.75 360.00 16188069
15 361.40 361.67 351.31 355.36 19504307
16 354.91 357.40 352.25 355.76 12725565
17 354.69 354.76 350.60 352.47 16192719
18 349.12 349.77 344.90 346.67 18138865
19 345.33 352.32 345.00 351.99 16824288
20 353.18 356.48 351.31 353.56 15587670
21 342.10 347.84 340.10 345.43 25735619
22 342.00 343.00 326.26 330.01 41312518
23 336.83 339.61 330.66 334.64 23550711
24 337.13 338.20 330.00 330.67 26900372
25 335.99 339.74 335.26 339.30 14621080
26 342.56 342.62 339.14 341.20 11651166
27 339.28 340.22 335.95 339.19 13321214
28 341.85 346.00 338.86 344.97 14453960
29 348.07 352.06 347.02 351.54 16041828
30 353.15 354.32 350.44 350.44 11048201
31 347.66 350.96 346.06 350.96 12603565
32 350.64 350.88 347.44 348.63 11764467
33 346.36 349.80 346.06 348.51 9798858
34 351.11 351.59 343.30 344.56 14952200
35 344.31 344.60 338.40 341.19 16431506
36 336.99 342.25 336.00 338.89 17248687
37 341.22 343.90 337.14 338.04 14376383
38 338.10 340.43 336.03 338.08 13337360
39 339.92 340.15 333.95 335.06 13483331
40 334.06 335.67 330.02 330.80 14255374
41 330.49 333.73 330.20 332.40 15232440
42 335.02 336.14 332.52 336.13 12372709
43 334.80 336.00 332.06 332.42 10785343
44 333.30 333.64 326.80 327.46 16208321
45 326.10 332.23 320.16 331.85 21782061
46 333.10 337.98 331.71 337.86 14977749
47 343.51 345.75 341.50 342.41 25023406
48 350.70 350.70 350.70 350.70 0
49 350.34 353.75 350.30 353.01 9519470
50 353.62 354.99 349.35 350.42 12057235
51 352.24 352.35 347.10 350.15 12721841
52 346.19 349.75 345.52 346.75 12899589
53 346.78 353.95 346.67 350.13 35940847
54 349.74 350.47 345.50 346.28 15811178
55 347.99 349.89 345.62 348.20 11198607
56 348.26 351.83 321.87 349.57 13901747
