# Ford Motor CO stock data, NASDAQ:FORD
# From 14 Feb 2011, 10 Feb 2012, daily
# Date Open High Low Close Volume
1 3.58 3.60 3.55 3.60 35068
2 3.59 3.66 3.58 3.63 24074
3 3.61 3.80 3.54 3.75 69678
4 3.77 3.80 3.70 3.76 47035
5 3.60 3.60 3.60 3.60 0
6 3.55 3.60 3.52 3.59 17134
7 3.55 3.55 3.42 3.42 16899
8 3.42 3.55 3.42 3.55 3380
9 3.54 3.64 3.54 3.64 19251
10 3.60 3.67 3.60 3.67 21868
11 3.65 3.67 3.60 3.62 9310
12 3.66 3.69 3.61 3.69 5059
13 3.68 3.68 3.60 3.67 7619
14 3.66 3.88 3.65 3.88 38864
15 3.85 3.85 3.64 3.73 30041
16 3.73 3.75 3.69 3.74 19895
17 3.78 3.78 3.66 3.73 30550
18 3.73 3.73 3.65 3.72 10000
19 3.72 3.75 3.66 3.75 5980
20 3.77 3.77 3.69 3.72 7054
21 3.65 3.81 3.63 3.78 40004
22 3.76 3.90 3.75 3.76 29251
23 3.75 3.99 3.75 3.89 92173
24 3.91 4.00 3.80 3.94 19981
25 3.98 4.10 3.98 4.06 68070
26 4.00 4.10 3.99 3.99 18444
27 3.97 4.01 3.95 3.95 12257
28 3.96 3.98 3.92 3.93 4281
29 3.91 4.05 3.85 3.91 16191
30 3.86 4.00 3.86 3.90 15701
31 3.86 3.95 3.86 3.88 8726
32 3.91 3.94 3.85 3.85 8400
33 3.81 3.91 3.81 3.91 8450
34 3.87 3.91 3.82 3.91 8456
35 3.96 3.98 3.88 3.95 13891
36 3.93 3.99 3.87 3.99 6444
37 4.01 4.01 3.95 3.96 6686
38 3.98 4.02 3.96 4.01 17848
39 4.04 4.10 3.91 4.09 14214
40 4.10 4.15 4.03 4.06 26749
41 4.02 4.14 3.96 4.10 17470
42 4.07 4.19 4.03 4.12 10849
43 4.18 4.24 4.10 4.24 27968
44 4.24 4.30 4.16 4.22 26792
45 4.18 4.20 4.00 4.03 18097
46 4.06 4.24 4.04 4.23 11765
47 4.24 4.24 4.00 4.11 15585
48 4.14 4.14 4.14 4.14 0
49 4.19 4.26 4.15 4.22 24220
50 4.28 4.41 4.23 4.40 38534
51 4.44 4.59 4.40 4.49 53394
